Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,"",9780743291477,hardcover,to-read,2014/03/11,"","",0,"",,,,,,,,,"",,"",No
The Producer as Composer: Shaping the Sounds of Popular Music,Virgil Moorefield,"",,,read,2012/05/03,"","",1,"",,,,,,,5.0,,"",,music-and-sound,No
"Da Vinci's Ghost: Genius, Obsession, and How Leonardo Created the World in His Own Image",Toby Lester,"",9781439189238,hardcover,to-read,2012/05/29,"","",0,"",,,,,,,,,"",,science-and-math,No
Oathbringer,Brandon Sanderson,"",9780765326379,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
The Meditation Bible: The Definitive Guide to Meditations for Every Purpose,Madonna Gauding,"",9781402728433,paperback,read,2012/10/13,"","",1,"",,,,,,,4.0,,"",,"non-fiction, religion-and-philosophy",No
A man of no importance: A new musical,"Terrence McNally, Lynn Ahrns, Stephen Flaherty","",,,to-read,2012/10/03,"","",0,"",,,,,,,,,"",,plays-to-read,No
The Illustrated Man,Ray Bradbury,"",9781451678185,paperback,read,2014/05/15,"","",1,"",,,,,,,,,"",,"",No
The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,Deepak Chopra,"",9781878424112,hardcover,to-read,2012/09/03,"","",0,"",,,,,,,,,"",,"",No
All Systems Red,Martha Wells,"",9780765397522,digital,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Heretical Fishing,Haylock Jobson,"",B0CVD8D7H6,digital,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
Tress of the Emerald Sea,Brandon Sanderson,"",9781938570322,hardcover,read,2026/02/16,"","",1,"",,,,,,,,,"",,"",No
"The Classical Style: Haydn, Mozart, Beethoven",Charles Rosen,"",9780393317121,paperback,to-read,2013/01/09,"","",0,"",,,,,,,,,"",,"",No
The Complete Guide to Asperger's Syndrome,Tony Attwood,"",9781843104957,hardcover,to-read,2012/07/18,"","",0,"",,,,,,,,,"",,non-fiction,No
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,"",9781592402038,paperback,read,2012/04/21,"","",1,"",,,,,,,5.0,,"",,"language-and-semiotics, non-fiction",No
Ilse Witch,Terry Brooks,"",9780345396556,paperback,read,2012/07/29,"","",1,"",,,,,,,4.0,,"",,"fiction, fantasy",No
Philosophy for Beginners,Richard Osborne,Ralph Edney,9780863161575,paperback,read,2012/05/03,"","",1,"",,,,,,,4.0,,"",,religion-and-philosophy,No
The Three-Body Problem,Cixin Liu,Ken Liu (Translator),9780765377067,hardcover,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",Yes
"The Origin of Satan: How Christians Demonized Jews, Pagans, and Heretics",Elaine Pagels,"",9780679731184,paperback,to-read,2012/12/29,"","",0,"",,,,,,,,,"",,"history, religion-and-philosophy",No
Paranoia: A Psychologist’s Journey Into Extreme Mistrust and Anxiety,Daniel Freeman,"",9780008472603,digital,to-read,2026/02/16,"","",0,"",,,,,,,,,"",,"",No
Научные теории за 30 секунд,Paul Parsons,Ю.Б. Капустюк (Translator),9781435109568,digital,read,2012/05/03,"","",1,"",,,,,,,5.0,,"",,"non-fiction, science-and-math",No
